variant,seed,arrival_s,dag,mode,runs,completed,escalated,failure_rate,tct_p50,tct_p99,throughput_rph,makespan_s,timeouts,jain_all,budget_errs,provider_errs,refused_429,usd,usd_per_req,usd_waste_frac,wait_p50,wait_p99,go_rate,leases,lease_unused_frac,gang,srpt_orders,budget_waits,wall_s
off,1,20.0,login,mixed,12,5,7,0.5833,367.0,461.8,26.18,687.6,0,0.641,6,24,59,4.0537,0.8107,0.522,0.0,179.2,1.0,0,0.0,0,0,0,34.4
gate,1,20.0,login,mixed,12,11,1,0.0833,1484.0,2241.9,16.91,2341.4,0,0.9837,7,7,0,8.294,0.754,0.133,95.3,772.9,1.0,0,0.0,0,0,0,117.1
needs,1,20.0,login,mixed,12,12,0,0.0,1892.7,2303.4,17.83,2422.7,1,1.0,0,1,0,7.2643,0.6054,0.0,112.9,780.9,1.0,3,0.112,0,4263,945,121.2
oracle,1,20.0,login,mixed,12,12,0,0.0,656.6,1755.4,22.2,1946.1,2,1.0,0,2,0,7.2643,0.6054,0.0,15.0,744.9,1.0,0,0.0,0,2598,443,97.3
off,2,20.0,login,mixed,12,4,8,0.6667,180.6,270.3,38.37,375.3,0,0.6667,8,26,56,3.715,0.9288,0.4585,0.0,30.3,1.0,0,0.0,0,0,0,18.8
gate,2,20.0,login,mixed,12,12,0,0.0,1005.9,1394.1,29.84,1447.7,0,1.0,4,4,0,6.8256,0.5688,0.0,92.5,428.1,1.0,0,0.0,0,0,0,72.4
needs,2,20.0,login,mixed,12,12,0,0.0,1054.6,1233.9,31.07,1390.6,0,1.0,1,1,0,6.365,0.5304,0.0,45.3,648.5,1.0,9,0.192,0,2271,782,69.5
oracle,2,20.0,login,mixed,12,12,0,0.0,460.3,1329.0,31.21,1384.1,0,1.0,0,0,0,6.365,0.5304,0.0,20.7,712.6,1.0,0,0.0,0,1865,251,69.2
off,3,20.0,login,mixed,12,6,6,0.5,287.9,453.0,35.3,611.9,0,0.6,4,22,64,4.2612,0.7102,0.2297,0.0,97.7,1.0,0,0.0,0,0,0,30.6
gate,3,20.0,login,mixed,12,10,2,0.1667,466.7,869.3,31.95,1126.8,0,0.9804,6,6,0,7.5853,0.7585,0.3223,35.4,209.0,1.0,0,0.0,0,0,0,56.3
needs,3,20.0,login,mixed,12,12,0,0.0,618.8,1054.3,33.63,1284.6,0,1.0,0,0,0,6.7387,0.5616,0.0,18.7,460.6,1.0,0,0.0,0,1930,1446,64.2
oracle,3,20.0,login,mixed,12,12,0,0.0,433.5,1044.9,33.67,1283.1,0,1.0,2,2,0,7.0523,0.5877,0.0,23.5,317.7,1.0,3,0.0,0,1599,1364,64.2
