run,type,population,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_population=5_seed=1,uncoordinated,5,uncoordinated,1,22,17,0,0.0,0.0,17,231.66601784625084,1196.9038608146936,0.0,0.0,0,4,0,0,0,0.0,0.3542059545305929,555161901.8137765,0.0,0,0.0,0.0,0.0,0.0,12,12,0.6314987864189424,0.6314987864189424,0.1464287659366097,0.034007583947789854,20.4,0.01
type=uncoordinated_population=5_seed=2,uncoordinated,5,uncoordinated,2,33,27,1,0.03571428571428571,0.0,27,154.53156470562953,1340.2123828239412,0.0,0.0,3,2,0,0,0,0.0034940501217353894,0.23955549041649754,816714003.5700462,0.0,0,0.0,0.0,0.0,0.0,15,14,0.6560513028469865,0.6282949248819011,0.16161476762820512,0.0414320757796536,32.4,0.01
type=uncoordinated_population=5_seed=3,uncoordinated,5,uncoordinated,3,35,30,1,0.03225806451612903,0.2,30,187.5598520316438,927.9377953918188,0.0,0.0,6,4,0,0,0,0.06463465259513983,0.4105751384728357,474198328.0297609,0.0,0,0.0,0.0,0.0,0.0,11,10,0.849141658843286,0.9340558247276145,0.17376706127136754,0.033885883771642956,36.0,0.01
type=uncoordinated_population=5_seed=4,uncoordinated,5,uncoordinated,4,52,47,0,0.0,0.0,47,120.60697691901896,1290.5377784773277,0.0,0.0,6,1,0,0,0,0.0,0.10736585105711337,445558406.51931685,0.0,0,0.0,0.0,0.0,0.0,16,16,0.8659980354799507,0.8659980354799507,0.21044745158475783,0.038933041032782285,56.4,0.02
type=uncoordinated_population=5_seed=5,uncoordinated,5,uncoordinated,5,42,37,0,0.0,0.0,37,167.51164271480093,1487.699649453268,0.0,0.0,0,0,0,0,0,0.0,0.0,667020033.8420357,0.0,0,0.0,0.0,0.0,0.0,21,19,0.8671295400650502,0.8671295400650502,0.23074317998575503,0.038372972541392554,44.4,0.02
type=uncoordinated_population=10_seed=1,uncoordinated,10,uncoordinated,1,73,61,3,0.046875,0.0,61,134.8772246795047,1157.2213382479588,0.0,0.0,39,7,0,0,0,0.014063713624075573,0.4193851320613013,1112068980.6280951,0.0,0,0.0,0.0,0.0,0.0,36,34,0.7594804212456181,0.8759688429367734,0.3712684378027066,0.06332703341624955,73.2,0.03
type=uncoordinated_population=10_seed=2,uncoordinated,10,uncoordinated,2,69,58,3,0.04918032786885246,0.0,58,142.066396210883,1804.4680381944029,0.0,0.0,30,6,0,0,0,0.015939688150369752,0.4138237544368156,742159286.1763674,0.0,0,0.0,0.0,0.0,0.0,27,27,0.7377987148730729,0.7896069435904588,0.36933170596509973,0.05560458768306184,69.6,0.03
type=uncoordinated_population=10_seed=3,uncoordinated,10,uncoordinated,3,75,62,4,0.06060606060606061,0.1111111111111111,62,173.64714235656396,874.3653943593087,0.0,0.0,24,7,0,0,0,0.05289284327381048,0.4311137116079817,867176220.2546071,0.0,0,0.0,0.0,0.0,0.0,23,22,0.7485648805879965,0.8263575334564784,0.4007499851495727,0.0614037839622656,74.39999999999999,0.03
type=uncoordinated_population=10_seed=4,uncoordinated,10,uncoordinated,4,82,61,11,0.1527777777777778,0.3076923076923077,61,160.75270396485985,1467.7097724571736,0.131365397194248,0.0,163,2,0,0,0,0.12065264906719697,0.16525220738525714,948560286.6848285,0.0,0,0.0,0.0,0.0,0.0,36,33,0.6661363063578949,0.8802744379403313,0.3918044558226496,0.07938417563004445,73.2,0.03
type=uncoordinated_population=10_seed=5,uncoordinated,10,uncoordinated,5,138,73,55,0.4296875,0.819672131147541,73,157.942168498274,1092.6175358874996,1.2250199531376893,0.0,617,4,0,0,0,0.10676567010608436,0.15027104212866446,1145686470.564733,0.0,0,0.0,0.0,0.0,0.0,41,39,0.3813057700834088,0.8254513948516232,0.4469588110398861,0.06476497183523526,87.6,0.04
