run,type,rate_per_min,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_rate_per_min=0.5_seed=1,uncoordinated,0.5,uncoordinated,1,248,236,1,0.004219409282700422,0.015625,236,87.83645513022611,1074.0907402602177,0.0,600.0,0,28,0,0,0,0.007271198376511167,0.45358563527029155,3661665373.212404,0.0,0,0.0,0.0,0.0,0.0,134,61,0.8706345555997304,0.8797036655538942,0.22491021103664854,0.12841140555853653,128.72727272727272,0.06
type=uncoordinated_rate_per_min=0.5_seed=2,uncoordinated,0.5,uncoordinated,2,236,220,1,0.004524886877828055,0.022222222222222223,220,127.7395587628198,1132.3083367758427,1.0741069690375784,9.00331902144626,0,10,0,0,0,0.0014258235488268526,0.1629320083767703,2745598021.3113556,0.0,0,0.0,0.0,0.0,0.0,129,51,0.9095319901216451,0.9218229629611269,0.2748956057085276,0.10210282006043928,120.0,0.07
type=uncoordinated_rate_per_min=0.5_seed=3,uncoordinated,0.5,uncoordinated,3,272,258,1,0.003861003861003861,0.018518518518518517,258,62.50401963433251,1156.0833807074266,0.0,0.0,0,18,0,0,0,2.2840954985570134e-05,0.37017549227994767,3318128299.813943,0.0,0,0.0,0.0,0.0,0.0,98,58,0.907008876586227,0.9071597812734588,0.24834219777097905,0.13659983874905474,140.72727272727272,0.07
type=uncoordinated_rate_per_min=0.5_seed=4,uncoordinated,0.5,uncoordinated,4,264,252,1,0.003952569169960474,0.018518518518518517,252,37.7481642861344,1101.2250968881763,0.0,0.0,0,12,0,0,0,0.011930261610978089,0.3220357267997241,2679896035.1183186,0.0,0,0.0,0.0,0.0,0.0,107,65,0.9162746292150012,0.9201055329617397,0.21997017119512435,0.10984451946250427,137.45454545454547,0.06
type=uncoordinated_rate_per_min=0.5_seed=5,uncoordinated,0.5,uncoordinated,5,380,353,1,0.002824858757062147,0.0196078431372549,353,75.85213162429227,1372.7851856235764,0.0,600.0,0,19,0,0,0,0.00022448005458307877,0.35061407374840053,4567757514.543962,0.0,0,0.0,0.0,0.0,0.0,114,54,0.7981907902455699,0.8054470701568933,0.3033741809319153,0.18128570323878335,192.54545454545456,0.09
type=uncoordinated_rate_per_min=1.0_seed=1,uncoordinated,1.0,uncoordinated,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.1
type=uncoordinated_rate_per_min=1.0_seed=2,uncoordinated,1.0,uncoordinated,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.12
type=uncoordinated_rate_per_min=1.0_seed=3,uncoordinated,1.0,uncoordinated,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=uncoordinated_rate_per_min=1.0_seed=4,uncoordinated,1.0,uncoordinated,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.11
type=uncoordinated_rate_per_min=1.0_seed=5,uncoordinated,1.0,uncoordinated,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=uncoordinated_rate_per_min=2.0_seed=1,uncoordinated,2.0,uncoordinated,1,616,492,7,0.014028056112224449,0.050359712230215826,492,177.65406354315678,2112.2835308586964,19.270821895753283,600.0000000000005,0,270,1,0,0,0.002067941954940711,0.35660116807734765,3693639531.6735096,0.0,0,0.0,0.0,0.0,0.0,274,32,0.5169424403679067,0.5288416224671106,0.6012413629524411,0.24266542988411247,268.3636363636364,0.19
type=uncoordinated_rate_per_min=2.0_seed=2,uncoordinated,2.0,uncoordinated,2,686,512,19,0.035781544256120526,0.13380281690140844,512,140.09881831050006,2630.4624959917787,12.2481946426507,600.0000000000005,0,443,3,0,0,0.009741370818828,0.3388566535705316,2996871230.5481787,0.0,0,0.0,0.0,0.0,0.0,247,23,0.4182289692475473,0.4412076848088159,0.5727869068367974,0.27822087316773353,279.2727272727273,0.21
type=uncoordinated_rate_per_min=2.0_seed=3,uncoordinated,2.0,uncoordinated,3,770,554,34,0.05782312925170068,0.19375,554,73.56534600754162,3081.950479156563,8.840636462053062,600.0000000000005,0,615,0,0,0,0.016124060354335907,0.4396904049251733,4587807695.295256,0.0,0,0.0,0.0,0.0,0.0,276,19,0.3947803496134008,0.4223087505545443,0.5561457757502914,0.24797747259072425,302.1818181818182,0.22
type=uncoordinated_rate_per_min=2.0_seed=4,uncoordinated,2.0,uncoordinated,4,695,558,10,0.017605633802816902,0.057692307692307696,558,98.94350870239168,1992.786087356778,2.452603770157498,600.0000000000005,0,238,0,0,0,0.013792805678159568,0.31851156789712776,5088354626.529724,0.0,0,0.0,0.0,0.0,0.0,224,19,0.492599331068832,0.5025339652916216,0.5252149844518907,0.2836978157274059,304.3636363636364,0.18
