run,type,hold_model_during_tool,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_hold_model_during_tool=True_seed=1,uncoordinated,True,uncoordinated,1,292,213,3,0.013888888888888888,0.045454545454545456,213,403.071284711164,2439.2406063336834,579.1672609683749,600.0000000000005,0,116,0,0,202,0.007241170667072365,0.4427919245108386,6618631615.545537,0.0,0,0.0,0.0,0.0,0.0,121,63,0.3356299493909266,0.34221092879074866,0.21406940066126007,0.12935032823702247,116.18181818181819,0.08
type=uncoordinated_hold_model_during_tool=True_seed=2,uncoordinated,True,uncoordinated,2,333,239,1,0.004166666666666667,0.018518518518518517,239,265.204485307336,1590.7367460682044,567.0813582890112,600.0,0,56,0,0,119,0.0007463179357955771,0.2823098305809044,5306041563.415121,0.0,0,0.0,0.0,0.0,0.0,124,45,0.4266641062255188,0.42941677787858673,0.2956103404841686,0.1601309486911114,130.36363636363637,0.09
type=uncoordinated_hold_model_during_tool=True_seed=3,uncoordinated,True,uncoordinated,3,363,253,8,0.03065134099616858,0.09375,253,168.0557408226914,2053.090944379448,582.8216508073119,600.0,0,141,0,0,119,0.01479003901463435,0.4766161309946572,4936202985.062166,0.0,0,0.0,0.0,0.0,0.0,93,41,0.37351423964150754,0.3775140776813767,0.25174556434133,0.14709513660454013,138.0,0.09
type=uncoordinated_hold_model_during_tool=True_seed=4,uncoordinated,True,uncoordinated,4,388,322,3,0.009230769230769232,0.02666666666666667,322,111.11947057144357,2154.1929817895934,522.7730026558656,600.0,0,41,0,0,82,0.011049420326606357,0.4462238543476668,5771601462.555233,0.0,0,0.0,0.0,0.0,0.0,142,80,0.5069425207713236,0.5133965803297107,0.2966816371527778,0.1507816723832498,175.63636363636365,0.09
type=uncoordinated_hold_model_during_tool=True_seed=5,uncoordinated,True,uncoordinated,5,383,235,12,0.048582995951417005,0.2,235,370.86912956023184,4140.627018799995,595.0435545827975,600.0000000000005,0,361,0,0,267,0.00667962457972772,0.497018242955024,6469554353.828005,0.0,0,0.0,0.0,0.0,0.0,88,27,0.2076740895203422,0.21686554345899417,0.20501326559262498,0.11405901745147028,128.1818181818182,0.11
type=reactive_gate_hold_model_during_tool=True_seed=1,reactive_gate,True,reactive_gate,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.11
type=reactive_gate_hold_model_during_tool=True_seed=2,reactive_gate,True,reactive_gate,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.12
type=reactive_gate_hold_model_during_tool=True_seed=3,reactive_gate,True,reactive_gate,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=reactive_gate_hold_model_during_tool=True_seed=4,reactive_gate,True,reactive_gate,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.11
type=reactive_gate_hold_model_during_tool=True_seed=5,reactive_gate,True,reactive_gate,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=clairvoyant_hold_model_during_tool=True_seed=1,clairvoyant,True,clairvoyant,1,406,382,1,0.0026109660574412533,0.00980392156862745,382,105.45151886948724,1267.9809208852723,0.0,600.0,0,33,0,0,0,0.003937082360139112,0.38872098776020636,2021199517.0992155,405.0,135,0.0,0.0,0.0,0.0,205,108,0.8957078983688795,0.9014866590035174,0.3864586833155271,0.21188269305201426,208.36363636363637,0.12
