run,type,rate_per_min,think_snr,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_rate_per_min=1.0_think_snr=0.0_seed=1,uncoordinated,1.0,0.0,uncoordinated,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.1
type=uncoordinated_rate_per_min=1.0_think_snr=0.0_seed=2,uncoordinated,1.0,0.0,uncoordinated,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.12
type=uncoordinated_rate_per_min=1.0_think_snr=0.0_seed=3,uncoordinated,1.0,0.0,uncoordinated,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=uncoordinated_rate_per_min=1.0_think_snr=0.0_seed=4,uncoordinated,1.0,0.0,uncoordinated,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.11
type=uncoordinated_rate_per_min=1.0_think_snr=0.0_seed=5,uncoordinated,1.0,0.0,uncoordinated,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=uncoordinated_rate_per_min=1.0_think_snr=0.5_seed=1,uncoordinated,1.0,0.5,uncoordinated,1,388,345,5,0.014285714285714285,0.045454545454545456,345,135.8869036907472,2106.431825230762,0.0,600.0000000000005,0,76,0,0,0,0.00568240204439524,0.3920279456728536,4816972267.769364,0.0,0,0.0,0.0,0.0,0.0,199,74,0.675127495743016,0.6931704348504992,0.3607955957653458,0.18488387304532067,188.1818181818182,0.1
type=uncoordinated_rate_per_min=1.0_think_snr=0.5_seed=2,uncoordinated,1.0,0.5,uncoordinated,2,413,348,3,0.008547008547008548,0.0410958904109589,348,163.95766619213214,2104.7936349092383,18.24683308467311,600.0,0,51,1,0,0,0.009887878124358037,0.28495081200931943,2823881514.397503,0.0,0,0.0,0.0,0.0,0.0,184,46,0.5984472045510707,0.605716936252495,0.4478095642887206,0.20930045966546376,189.8181818181818,0.13
type=uncoordinated_rate_per_min=1.0_think_snr=0.5_seed=3,uncoordinated,1.0,0.5,uncoordinated,3,425,359,5,0.013736263736263736,0.047058823529411764,359,102.24636965811897,1711.2383803150483,6.285067564699541,600.0,0,98,0,0,0,0.004230714343265503,0.4317330509043469,4500526682.0006075,0.0,0,0.0,0.0,0.0,0.0,158,40,0.6160438933364341,0.6261981822586639,0.374218625032375,0.20282153418807186,195.8181818181818,0.11
type=uncoordinated_rate_per_min=1.0_think_snr=0.5_seed=4,uncoordinated,1.0,0.5,uncoordinated,4,454,416,2,0.004784688995215311,0.02040816326530612,416,55.43867851186667,1760.0695759279229,0.0,600.0,0,45,0,0,0,0.0034194506676695677,0.3597691993645082,4594190741.368901,0.0,0,0.0,0.0,0.0,0.0,152,65,0.7699602862470545,0.7798315719681705,0.3661870228931948,0.18834839414395077,226.9090909090909,0.11
type=uncoordinated_rate_per_min=1.0_think_snr=0.5_seed=5,uncoordinated,1.0,0.5,uncoordinated,5,630,540,9,0.01639344262295082,0.09473684210526316,540,79.3003338383271,2843.7996496276423,1.6647475025544736,600.0000000000005,0,202,0,0,0,0.005580210725494501,0.31359931386965106,4920253319.819556,0.0,0,0.0,0.0,0.0,0.0,175,21,0.5331711978795364,0.5535250681246434,0.47953259790614483,0.2615544920467025,294.54545454545456,0.16
