run,type,sandbox_idle_timeout_s,ablate,rate_per_min,think_snr,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=1,reactive_gate,0,,2.0,0.0,reactive_gate,1,659,558,1,0.0017889087656529517,0.006289308176100629,558,206.5662561790976,1477.7004968829347,37.90464530480544,600.0000000000005,0,71,2,0,0,0.0009867345836209955,0.3143606853292889,2201748866.803826,0.0,0,0.0,0.0,0.0,0.0,302,74,0.6476137050680907,0.6490825564743758,0.7271745806542994,0.2979102121912399,304.3636363636364,0.23
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=2,reactive_gate,0,,2.0,0.0,reactive_gate,2,734,574,6,0.010344827586206896,0.0425531914893617,574,284.23971850142243,2184.1441966754173,43.081982131700066,600.0,0,232,2,0,0,0.003624943299250565,0.3043504790697046,1163920457.273324,0.0,0,0.0,0.0,0.0,0.0,251,36,0.4769768789835484,0.48224235158923295,0.725466558218402,0.31582290658714324,313.0909090909091,0.27
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=3,reactive_gate,0,,2.0,0.0,reactive_gate,3,803,607,16,0.025682182985553772,0.09316770186335403,607,156.04647232426396,2236.122744946142,48.654026882764576,600.0000000000005,0,358,2,0,0,0.003777590447737631,0.41862133430683646,2852362571.503503,0.0,0,0.0,0.0,0.0,0.0,259,28,0.42947198875809695,0.44561171526792054,0.6948616707621083,0.2814895358813595,331.0909090909091,0.28
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=4,reactive_gate,0,,2.0,0.0,reactive_gate,4,755,640,5,0.007751937984496124,0.023121387283236993,640,120.80819599698839,1908.3519801364198,21.068664259765956,600.0,0,107,1,0,0,0.005572835985919441,0.3268358921187024,2333459665.313705,0.0,0,0.0,0.0,0.0,0.0,253,57,0.6428803448314493,0.6478210068618732,0.6997347166172948,0.3290911455288295,349.0909090909091,0.22
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=5,reactive_gate,0,,2.0,0.0,reactive_gate,5,1025,802,28,0.033734939759036145,0.12217194570135746,802,233.52101049768146,3219.021892592091,44.71508949366199,600.0000000000005,0,787,4,0,0,0.012769333423912227,0.2610186457622327,1903286470.435836,0.0,0,0.0,0.0,0.0,0.0,302,8,0.41706489536308744,0.4370504383971805,0.862916472465035,0.35996679391743014,437.4545454545455,0.38
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=6,reactive_gate,0,,2.0,0.0,reactive_gate,6,647,528,10,0.01858736059479554,0.06493506493506493,528,390.4556151850554,2997.944748839457,32.41619373774111,600.0000000000005,0,275,0,0,0,0.004562790420121322,0.390825010484214,2958349920.183508,0.0,0,0.0,0.0,0.0,0.0,260,31,0.5073182734014522,0.5225341543095214,0.6540890200563326,0.3162192191069291,288.0,0.23
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=7,reactive_gate,0,,2.0,0.0,reactive_gate,7,805,640,7,0.010819165378670788,0.028846153846153848,640,206.86750353801386,2009.5105342815687,34.99679052881079,600.0,0,290,1,0,0,0.012505930482832476,0.35004523567971063,1655800206.7295787,0.0,0,0.0,0.0,0.0,0.0,239,31,0.45760801053907435,0.4633431029059079,0.7176644440559442,0.2955831766222122,349.0909090909091,0.28
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=8,reactive_gate,0,,2.0,0.0,reactive_gate,8,892,713,11,0.015193370165745856,0.06179775280898876,713,209.33000440258138,2749.5088635110205,31.75465552803866,600.0000000000005,0,448,1,0,0,0.006078036224965268,0.4431187053981864,2942896612.8723226,0.0,0,0.0,0.0,0.0,0.0,286,19,0.45700111867376036,0.4667641307465673,0.7547195452481547,0.323457733861587,388.90909090909093,0.28
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=9,reactive_gate,0,,2.0,0.0,reactive_gate,9,841,646,20,0.03003003003003003,0.10810810810810811,646,326.38753170440395,2893.1093523296367,31.677361276060854,600.0000000000005,0,484,3,0,0,0.008621458173857429,0.34818835170384976,1468832062.6029758,0.0,0,0.0,0.0,0.0,0.0,289,22,0.4320706916249206,0.4480109643636279,0.7858072138856514,0.31464651809399485,352.3636363636364,0.31
type=reactive_gate_sandbox_idle_timeout_s=0_ablate=_rate_per_min=2.0_think_snr=0.0_seed=10,reactive_gate,0,,2.0,0.0,reactive_gate,10,726,622,3,0.0048,0.02142857142857143,622,217.66440985303143,1866.708365691106,50.049290198347904,600.0000000000002,0,105,2,0,0,0.0034973556963891683,0.27263253217703004,1606784881.250985,0.0,0,0.0,0.0,0.0,0.0,246,27,0.6125470132708758,0.6163560989026715,0.7354258474043318,0.3438239071674351,339.2727272727273,0.25
