run,type,rate_per_min,think_snr,tau,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=1,reactive_gate,1.0,0.0,0.5,reactive_gate,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.1
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=2,reactive_gate,1.0,0.0,0.5,reactive_gate,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=3,reactive_gate,1.0,0.0,0.5,reactive_gate,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=4,reactive_gate,1.0,0.0,0.5,reactive_gate,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=5,reactive_gate,1.0,0.0,0.5,reactive_gate,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=6,reactive_gate,1.0,0.0,0.5,reactive_gate,6,416,355,4,0.011142061281337047,0.04597701149425287,355,172.77418933339754,2914.4511127130786,5.593191875348934,600.0000000000005,0,150,0,0,0,0.0022799823124015025,0.40543676571411197,4459298289.407164,0.0,0,0.0,0.0,0.0,0.0,187,45,0.5926814264469789,0.6037612267146466,0.40477680314766257,0.2369841478014521,193.63636363636365,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=7,reactive_gate,1.0,0.0,0.5,reactive_gate,7,399,375,0,0.0,0.0,375,136.29605084657578,1629.135535814408,4.188700386369694,600.0,0,21,0,0,0,0.0,0.19092909825248444,3151586163.2089086,0.0,0,0.0,0.0,0.0,0.0,166,35,0.7649351529867188,0.7649351529867188,0.388929194828898,0.22448968539830977,204.54545454545456,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=8,reactive_gate,1.0,0.0,0.5,reactive_gate,8,517,443,4,0.008948545861297539,0.039603960396039604,443,103.03964968811215,2018.2777793076875,1.917021396380253,600.0,0,172,0,0,0,0.002844554614672234,0.46980825906324075,4842102774.932288,0.0,0,0.0,0.0,0.0,0.0,171,45,0.601673938347752,0.6112791965929045,0.44645917969761717,0.21274385436884163,241.63636363636365,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=9,reactive_gate,1.0,0.0,0.5,reactive_gate,9,520,451,3,0.006607929515418502,0.029411764705882353,451,164.87898431083977,2012.0886097963123,8.90076136818577,600.0000000000005,0,108,0,0,0,0.0021749956771081,0.2571299505244506,3227154044.6102347,0.0,0,0.0,0.0,0.0,0.0,213,34,0.5978836866797657,0.6034302800839184,0.5044294805749806,0.22985004219633515,246.0,0.14
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.5_seed=10,reactive_gate,1.0,0.0,0.5,reactive_gate,10,480,430,3,0.006928406466512702,0.03488372093023256,430,117.20337112717016,1681.5465294739447,6.168504839491333,600.0000000000005,0,54,0,0,0,0.006130398300276569,0.18213457693489904,4169595863.4067726,0.0,0,0.0,0.0,0.0,0.0,174,66,0.6767940297644702,0.6855115546469603,0.4434576881798757,0.26530765099033127,234.54545454545456,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=1,reactive_gate,1.0,0.0,0.8,reactive_gate,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.1
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=2,reactive_gate,1.0,0.0,0.8,reactive_gate,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=3,reactive_gate,1.0,0.0,0.8,reactive_gate,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=4,reactive_gate,1.0,0.0,0.8,reactive_gate,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=5,reactive_gate,1.0,0.0,0.8,reactive_gate,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=6,reactive_gate,1.0,0.0,0.8,reactive_gate,6,416,355,4,0.011142061281337047,0.04597701149425287,355,172.77418933339754,2914.4511127130786,5.593191875348934,600.0000000000005,0,150,0,0,0,0.0022799823124015025,0.40543676571411197,4459298289.407164,0.0,0,0.0,0.0,0.0,0.0,187,45,0.5926814264469789,0.6037612267146466,0.40477680314766257,0.2369841478014521,193.63636363636365,0.13
