scenario,variant,seed,content_snr,rate_per_min,policy,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,spawns,children,children_aborted,join_p99,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
multiagent,gate_fifo300,1,0.6,1.0,reactive_gate,333,268,5,0.018315018315018316,0.06329113924050633,268,176.66990602889553,3323.9081955682664,0.0,600.0000000000005,0,184,0,0,222,0.005608351328245256,0.5508091178956024,5814524395.446117,0.0,0,0.0,0.0,0.0,0.0,207,23,49,138,7,3556.3365599999997,0.4893842171872828,0.5053944328487077,0.40227799798060737,0.21751460180755688,146.1818181818182,0.17
multiagent,gate_fifo300,2,0.6,1.0,reactive_gate,331,265,3,0.011194029850746268,0.045454545454545456,265,147.31110396733402,3335.9365831891255,0.0,600.0000000000005,0,126,0,0,169,0.0072957957759289946,0.48285036249256413,5587154591.082202,0.0,0,0.0,0.0,0.0,0.0,165,38,42,120,3,3551.91953,0.5186687278992,0.5246371429634088,0.40304173927981746,0.26208679124742307,144.54545454545456,0.17
multiagent,gate_fifo300,3,0.6,1.0,reactive_gate,344,264,5,0.01858736059479554,0.05,264,87.13777212018863,2588.118962351936,0.0,600.0000000000005,0,209,0,0,184,0.013421313703843706,0.4289762738108572,5426061521.686751,0.0,0,0.0,0.0,0.0,0.0,155,33,56,178,4,2525.7317900000016,0.47364251501567983,0.48729399668276957,0.42576202424080556,0.2950208159117157,144.0,0.18
multiagent,gate_fifo300,4,0.6,1.0,reactive_gate,336,258,2,0.007692307692307693,0.03076923076923077,258,127.25025684846378,3246.9486490033332,2.836432749922551,600.0000000000005,0,228,0,0,255,0.002446121958172038,0.40236450927452,6047008928.1596985,0.0,0,0.0,0.0,0.0,0.0,199,20,68,189,7,3097.771219999999,0.46391269493780096,0.4698602935908497,0.47808065824915824,0.27003144324091966,140.72727272727272,0.2
multiagent,gate_fifo300,5,0.6,1.0,reactive_gate,444,320,13,0.03903903903903904,0.18571428571428572,320,126.83176408651298,4218.317295840336,0.0,600.0000000000005,0,605,0,0,245,0.01162623929201851,0.4408152829680803,6136529821.29432,0.0,0,0.0,0.0,0.0,0.0,190,9,62,180,18,4974.120850000002,0.3504239798290765,0.3729793020587679,0.5036731580184861,0.26592274290519063,174.54545454545456,0.24
multiagent,gate_fifo300,6,0.6,1.0,reactive_gate,425,346,4,0.011428571428571429,0.05194805194805195,346,28.134107724574562,2696.026204471396,0.0,600.0000000000005,0,271,0,0,231,0.0005331271403717208,0.442653728225299,5978430609.807106,0.0,0,0.0,0.0,0.0,0.0,162,44,51,149,7,3537.72348,0.4983763177544597,0.5070992064449426,0.4243869798060736,0.2641904898221133,188.72727272727275,0.19
multiagent,gate_fifo300,7,0.6,1.0,reactive_gate,293,210,4,0.018691588785046728,0.058823529411764705,210,229.87000611917983,2666.584209694547,0.0,600.0000000000005,0,234,0,0,261,0.040361100262232885,0.29696599265674206,5697613711.273364,0.0,0,0.0,0.0,0.0,0.0,176,40,70,210,4,3326.123989999997,0.4093988749965368,0.41932072908912166,0.4270286605032699,0.3351660453305844,114.54545454545455,0.19
multiagent,gate_fifo300,8,0.6,1.0,reactive_gate,454,351,13,0.03571428571428571,0.1511627906976744,351,38.70034914529924,3070.0193209542676,0.0,600.0000000000005,0,437,0,0,274,0.009345561352409338,0.5632094683013729,6408646949.045196,0.0,0,0.0,0.0,0.0,0.0,151,15,53,153,8,5237.706440000004,0.40787184064317505,0.4361571994600865,0.3764020720627752,0.22809342248183664,191.45454545454547,0.2
multiagent,gate_fifo300,9,0.6,1.0,reactive_gate,421,334,3,0.008902077151335312,0.03333333333333333,334,139.4046590116829,2851.1100078429577,0.457592087348938,600.0000000000005,0,267,0,0,295,0.002128134885776086,0.32853953040486344,6760765155.97172,0.0,0,0.0,0.0,0.0,0.0,195,22,73,210,8,4712.689299999995,0.4957514993568036,0.5033784455007545,0.4756732771828866,0.3064157101763861,182.1818181818182,0.23
multiagent,gate_fifo300,10,0.6,1.0,reactive_gate,422,354,3,0.008403361344537815,0.03896103896103896,354,163.9634268623936,2324.5215195346973,5.7358661288162756,600.0000000000005,0,134,0,0,219,0.0012271066045283002,0.1771145669328014,4288580271.76603,0.0,0,0.0,0.0,0.0,0.0,225,37,47,145,3,2682.8145999999992,0.5568046910176647,0.5672447789742459,0.5130075190567535,0.30937557175714864,193.0909090909091,0.2
