run,type,queue,sandbox_idle_timeout_s,rate_per_min,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=1,reactive_gate,fifo,0,1.0,reactive_gate,1,405,385,1,0.0025906735751295338,0.009708737864077669,385,101.2940686702641,1293.3195024324443,0.0,600.0,0,29,0,0,0,0.0037050367398782417,0.38301055570746767,4108253436.8340464,0.0,0,0.0,0.0,0.0,0.0,206,106,0.9167732845883151,0.9226879509404979,0.38247856488361176,0.21731935110539274,210.0,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=2,reactive_gate,fifo,0,1.0,reactive_gate,2,415,371,1,0.002688172043010753,0.012658227848101266,371,171.2909351991284,1372.2828048090944,34.43142219787162,600.0,0,21,1,0,0,0.0017214549470540399,0.22161011102322212,1864065180.9387367,0.0,0,0.0,0.0,0.0,0.0,193,58,0.7962410918916677,0.8013781311941945,0.4968580783961409,0.24087930675748476,202.36363636363637,0.14
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=3,reactive_gate,fifo,0,1.0,reactive_gate,3,472,417,4,0.009501187648456057,0.0297029702970297,417,132.8161154905938,1290.5834586276058,31.432845407905297,600.0,0,33,1,0,0,0.0016134490325133007,0.3947497946376396,3074594921.2207084,0.0,0,0.0,0.0,0.0,0.0,185,48,0.7593441699227819,0.7686659588202335,0.47151597977774545,0.23723281593837653,227.45454545454547,0.14
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=4,reactive_gate,fifo,0,1.0,reactive_gate,4,457,427,3,0.0069767441860465115,0.020202020202020204,427,59.868152004812146,1889.4691939379813,0.0831231696520716,600.0,0,38,0,0,0,0.01133260438478487,0.384915518259802,3834395428.3093805,0.0,0,0.0,0.0,0.0,0.0,173,108,0.8686605971847621,0.882371676736254,0.39416140890070583,0.20242125219346757,232.9090909090909,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=5,reactive_gate,fifo,0,1.0,reactive_gate,5,677,601,1,0.0016611295681063123,0.010416666666666666,601,137.81881651337517,2494.3871071974872,47.73789870415327,600.0,0,60,2,0,0,0.001134417510684617,0.32025214533616747,2708929139.726803,0.0,0,0.0,0.0,0.0,0.0,193,57,0.6764918478468067,0.679713237598458,0.6050478225686351,0.2986500257764231,327.8181818181818,0.19
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=6,reactive_gate,fifo,0,1.0,reactive_gate,6,444,394,1,0.002531645569620253,0.010309278350515464,394,216.86814308346175,1954.4830708537897,37.89962088708042,600.0,0,54,0,0,0,0.0007917256292392769,0.394862592298479,2904946872.618523,0.0,0,0.0,0.0,0.0,0.0,203,68,0.7765211743195313,0.7780367771911939,0.5141634953379953,0.27372992822980863,214.9090909090909,0.16
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=7,reactive_gate,fifo,0,1.0,reactive_gate,7,404,377,0,0.0,0.0,377,105.55132656056958,1375.1765047911654,29.37506891723844,70.45836441010943,0,13,0,0,0,0.0,0.23280067406504265,2343459242.447357,0.0,0,0.0,0.0,0.0,0.0,162,81,0.910236332993429,0.910236332993429,0.440232502375518,0.22728550662008412,205.63636363636365,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=8,reactive_gate,fifo,0,1.0,reactive_gate,8,547,485,2,0.004106776180698152,0.018018018018018018,485,131.63753427297706,1836.5157818470939,11.339718272109167,600.0,0,68,1,0,0,0.007028078410751343,0.4515407463380873,3952957305.3683524,0.0,0,0.0,0.0,0.0,0.0,194,57,0.7124877700172119,0.7168025744612014,0.5251767591540405,0.2489011554634762,264.54545454545456,0.15
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=9,reactive_gate,fifo,0,1.0,reactive_gate,9,532,483,1,0.002066115702479339,0.008928571428571428,483,185.56467705398518,1681.3069378493465,43.73716660862831,600.0,0,33,2,0,0,0.001345725906055952,0.26392568947671147,1661319574.5295231,0.0,0,0.0,0.0,0.0,0.0,217,81,0.7586875862533347,0.7623565948893493,0.6160938701235108,0.2531606252548245,263.45454545454544,0.18
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=10,reactive_gate,fifo,0,1.0,reactive_gate,10,504,463,2,0.004301075268817204,0.021739130434782608,463,113.58508337854983,1438.98236593941,18.49773441414905,430.67827461340994,0,27,0,0,0,0.002833205992368376,0.2152556949104509,2981374170.6636972,0.0,0,0.0,0.0,0.0,0.0,189,110,0.8257847923456885,0.8322152570166237,0.5119973989656178,0.2958273948876079,252.54545454545456,0.15
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=1,reactive_gate,fifo,0,2.0,reactive_gate,1,659,558,1,0.0017889087656529517,0.006289308176100629,558,206.5662561790976,1477.7004968829347,37.90464530480544,600.0000000000005,0,71,2,0,0,0.0009867345836209955,0.3143606853292889,2201748866.803826,0.0,0,0.0,0.0,0.0,0.0,302,74,0.6476137050680907,0.6490825564743758,0.7271745806542994,0.2979102121912399,304.3636363636364,0.24
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=2,reactive_gate,fifo,0,2.0,reactive_gate,2,734,574,6,0.010344827586206896,0.0425531914893617,574,284.23971850142243,2184.1441966754173,43.081982131700066,600.0,0,232,2,0,0,0.003624943299250565,0.3043504790697046,1163920457.273324,0.0,0,0.0,0.0,0.0,0.0,251,36,0.4769768789835484,0.48224235158923295,0.725466558218402,0.31582290658714324,313.0909090909091,0.26
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=3,reactive_gate,fifo,0,2.0,reactive_gate,3,803,607,16,0.025682182985553772,0.09316770186335403,607,156.04647232426396,2236.122744946142,48.654026882764576,600.0000000000005,0,358,2,0,0,0.003777590447737631,0.41862133430683646,2852362571.503503,0.0,0,0.0,0.0,0.0,0.0,259,28,0.42947198875809695,0.44561171526792054,0.6948616707621083,0.2814895358813595,331.0909090909091,0.28
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=4,reactive_gate,fifo,0,2.0,reactive_gate,4,755,640,5,0.007751937984496124,0.023121387283236993,640,120.80819599698839,1908.3519801364198,21.068664259765956,600.0,0,107,1,0,0,0.005572835985919441,0.3268358921187024,2333459665.313705,0.0,0,0.0,0.0,0.0,0.0,253,57,0.6428803448314493,0.6478210068618732,0.6997347166172948,0.3290911455288295,349.0909090909091,0.22
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=5,reactive_gate,fifo,0,2.0,reactive_gate,5,1025,802,28,0.033734939759036145,0.12217194570135746,802,233.52101049768146,3219.021892592091,44.71508949366199,600.0000000000005,0,787,4,0,0,0.012769333423912227,0.2610186457622327,1903286470.435836,0.0,0,0.0,0.0,0.0,0.0,302,8,0.41706489536308744,0.4370504383971805,0.862916472465035,0.35996679391743014,437.4545454545455,0.39
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=6,reactive_gate,fifo,0,2.0,reactive_gate,6,647,528,10,0.01858736059479554,0.06493506493506493,528,390.4556151850554,2997.944748839457,32.41619373774111,600.0000000000005,0,275,0,0,0,0.004562790420121322,0.390825010484214,2958349920.183508,0.0,0,0.0,0.0,0.0,0.0,260,31,0.5073182734014522,0.5225341543095214,0.6540890200563326,0.3162192191069291,288.0,0.23
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=7,reactive_gate,fifo,0,2.0,reactive_gate,7,805,640,7,0.010819165378670788,0.028846153846153848,640,206.86750353801386,2009.5105342815687,34.99679052881079,600.0,0,290,1,0,0,0.012505930482832476,0.35004523567971063,1655800206.7295787,0.0,0,0.0,0.0,0.0,0.0,239,31,0.45760801053907435,0.4633431029059079,0.7176644440559442,0.2955831766222122,349.0909090909091,0.29
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=8,reactive_gate,fifo,0,2.0,reactive_gate,8,892,713,11,0.015193370165745856,0.06179775280898876,713,209.33000440258138,2749.5088635110205,31.75465552803866,600.0000000000005,0,448,1,0,0,0.006078036224965268,0.4431187053981864,2942896612.8723226,0.0,0,0.0,0.0,0.0,0.0,286,19,0.45700111867376036,0.4667641307465673,0.7547195452481547,0.323457733861587,388.90909090909093,0.29
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=9,reactive_gate,fifo,0,2.0,reactive_gate,9,841,646,20,0.03003003003003003,0.10810810810810811,646,326.38753170440395,2893.1093523296367,31.677361276060854,600.0000000000005,0,484,3,0,0,0.008621458173857429,0.34818835170384976,1468832062.6029758,0.0,0,0.0,0.0,0.0,0.0,289,22,0.4320706916249206,0.4480109643636279,0.7858072138856514,0.31464651809399485,352.3636363636364,0.3
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=2.0_seed=10,reactive_gate,fifo,0,2.0,reactive_gate,10,726,622,3,0.0048,0.02142857142857143,622,217.66440985303143,1866.708365691106,50.049290198347904,600.0000000000002,0,105,2,0,0,0.0034973556963891683,0.27263253217703004,1606784881.250985,0.0,0,0.0,0.0,0.0,0.0,246,27,0.6125470132708758,0.6163560989026715,0.7354258474043318,0.3438239071674351,339.2727272727273,0.26
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=1,reactive_gate,fifo,300,1.0,reactive_gate,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.11
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=2,reactive_gate,fifo,300,1.0,reactive_gate,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.13
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=3,reactive_gate,fifo,300,1.0,reactive_gate,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=4,reactive_gate,fifo,300,1.0,reactive_gate,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=5,reactive_gate,fifo,300,1.0,reactive_gate,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=6,reactive_gate,fifo,300,1.0,reactive_gate,6,416,355,4,0.011142061281337047,0.04597701149425287,355,172.77418933339754,2914.4511127130786,5.593191875348934,600.0000000000005,0,150,0,0,0,0.0022799823124015025,0.40543676571411197,4459298289.407164,0.0,0,0.0,0.0,0.0,0.0,187,45,0.5926814264469789,0.6037612267146466,0.40477680314766257,0.2369841478014521,193.63636363636365,0.13
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=7,reactive_gate,fifo,300,1.0,reactive_gate,7,399,375,0,0.0,0.0,375,136.29605084657578,1629.135535814408,4.188700386369694,600.0,0,21,0,0,0,0.0,0.19092909825248444,3151586163.2089086,0.0,0,0.0,0.0,0.0,0.0,166,35,0.7649351529867188,0.7649351529867188,0.388929194828898,0.22448968539830977,204.54545454545456,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=8,reactive_gate,fifo,300,1.0,reactive_gate,8,517,443,4,0.008948545861297539,0.039603960396039604,443,103.03964968811215,2018.2777793076875,1.917021396380253,600.0,0,172,0,0,0,0.002844554614672234,0.46980825906324075,4842102774.932288,0.0,0,0.0,0.0,0.0,0.0,171,45,0.601673938347752,0.6112791965929045,0.44645917969761717,0.21274385436884163,241.63636363636365,0.14
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=9,reactive_gate,fifo,300,1.0,reactive_gate,9,520,451,3,0.006607929515418502,0.029411764705882353,451,164.87898431083977,2012.0886097963123,8.90076136818577,600.0000000000005,0,108,0,0,0,0.0021749956771081,0.2571299505244506,3227154044.6102347,0.0,0,0.0,0.0,0.0,0.0,213,34,0.5978836866797657,0.6034302800839184,0.5044294805749806,0.22985004219633515,246.0,0.15
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=1.0_seed=10,reactive_gate,fifo,300,1.0,reactive_gate,10,480,430,3,0.006928406466512702,0.03488372093023256,430,117.20337112717016,1681.5465294739447,6.168504839491333,600.0000000000005,0,54,0,0,0,0.006130398300276569,0.18213457693489904,4169595863.4067726,0.0,0,0.0,0.0,0.0,0.0,174,66,0.6767940297644702,0.6855115546469603,0.4434576881798757,0.26530765099033127,234.54545454545456,0.14
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=2.0_seed=1,reactive_gate,fifo,300,2.0,reactive_gate,1,616,492,7,0.014028056112224449,0.050359712230215826,492,177.65406354315678,2112.2835308586964,19.270821895753283,600.0000000000005,0,270,1,0,0,0.002067941954940711,0.35660116807734765,3693639531.6735096,0.0,0,0.0,0.0,0.0,0.0,274,32,0.5169424403679067,0.5288416224671106,0.6012413629524411,0.24266542988411247,268.3636363636364,0.2
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=2.0_seed=2,reactive_gate,fifo,300,2.0,reactive_gate,2,686,512,19,0.035781544256120526,0.13380281690140844,512,140.09881831050006,2630.4624959917787,12.2481946426507,600.0000000000005,0,443,3,0,0,0.009741370818828,0.3388566535705316,2996871230.5481787,0.0,0,0.0,0.0,0.0,0.0,247,23,0.4182289692475473,0.4412076848088159,0.5727869068367974,0.27822087316773353,279.2727272727273,0.22
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=2.0_seed=3,reactive_gate,fifo,300,2.0,reactive_gate,3,770,554,34,0.05782312925170068,0.19375,554,73.56534600754162,3081.950479156563,8.840636462053062,600.0000000000005,0,615,0,0,0,0.016124060354335907,0.4396904049251733,4587807695.295256,0.0,0,0.0,0.0,0.0,0.0,276,19,0.3947803496134008,0.4223087505545443,0.5561457757502914,0.24797747259072425,302.1818181818182,0.24
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=2.0_seed=4,reactive_gate,fifo,300,2.0,reactive_gate,4,695,558,10,0.017605633802816902,0.057692307692307696,558,98.94350870239168,1992.786087356778,2.452603770157498,600.0000000000005,0,238,0,0,0,0.013792805678159568,0.31851156789712776,5088354626.529724,0.0,0,0.0,0.0,0.0,0.0,224,19,0.492599331068832,0.5025339652916216,0.5252149844518907,0.2836978157274059,304.3636363636364,0.19
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=2.0_seed=5,reactive_gate,fifo,300,2.0,reactive_gate,5,992,725,51,0.06572164948453608,0.24519230769230768,725,59.5186619658125,4357.139391326038,20.033293791778526,600.0000000000005,0,1209,1,0,0,0.026587762490301564,0.2404824465969168,4067627402.1637144,0.0,0,0.0,0.0,0.0,0.0,313,4,0.34233315360184124,0.3772149102800458,0.7097142291949948,0.2984161451602247,395.4545454545455,0.34
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=300_rate_per_min=2.0_seed=6,reactive_gate,fifo,300,2.0,reactive_gate,6,605,445,26,0.055201698513800426,0.1925925925925926,445,133.82581292219857,3198.427637026624,19.285499154294953,600.0000000000005,0,599,0,0,0,0.01542621289949187,0.42370771252119915,3979008426.4927135,0.0,0,0.0,0.0,0.0,0.0,221,21,0.3844952884036298,0.41854580046470385,0.5383991590585341,0.24796657303756767,242.72727272727275,0.2
