run,type,rpm,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_rpm=10_seed=1,uncoordinated,10,uncoordinated,1,599,468,51,0.09826589595375723,0.2655367231638418,468,43.863072565427956,2095.1821044369613,0.0,600.0000000000005,537,235,0,0,0,0.10959031076673026,0.4542004013068303,5049404531.285796,0.0,0,0.0,0.0,0.0,0.0,246,0,0.4767905049691191,0.5136235492501467,0.39989053758336573,0.20463607860356384,255.27272727272728,0.15
type=uncoordinated_rpm=10_seed=2,uncoordinated,10,uncoordinated,2,628,443,53,0.10685483870967742,0.3,443,32.21602816289487,2468.11950592768,0.0,600.0000000000005,427,469,0,0,0,0.06745310894446507,0.39366166463475116,6229338451.600553,0.0,0,0.0,0.0,0.0,0.0,256,4,0.40499923899986096,0.43763396730285425,0.38961572183372184,0.2628925705547532,241.63636363636365,0.16
type=uncoordinated_rpm=10_seed=3,uncoordinated,10,uncoordinated,3,696,509,77,0.13139931740614336,0.3201754385964912,509,25.258967467099865,3127.31154315449,1.4549717049091226,600.0000000000005,698,445,0,0,0,0.08817491222961368,0.5179126853126939,5244497607.569205,0.0,0,0.0,0.0,0.0,0.0,320,7,0.4462041950394688,0.5167663298931258,0.411174750032375,0.20604749845955592,277.6363636363636,0.17
type=uncoordinated_rpm=10_seed=4,uncoordinated,10,uncoordinated,4,647,481,64,0.11743119266055047,0.32460732984293195,481,22.79610731943876,2191.402480568485,3.567901507580629,600.0000000000005,742,244,0,0,0,0.1038835165988644,0.4098542175459778,5428213060.923465,0.0,0,0.0,0.0,0.0,0.0,288,10,0.4498950248103133,0.5072720181739895,0.44145907423999614,0.20409503733811057,262.3636363636364,0.15
type=uncoordinated_rpm=10_seed=5,uncoordinated,10,uncoordinated,5,887,621,110,0.15047879616963064,0.3970037453183521,621,19.783591422156405,3619.0037233249495,0.4094757324764718,600.0000000000005,1005,741,0,0,0,0.09816766274275583,0.19552286011282363,7624239698.802381,0.0,0,0.0,0.0,0.0,0.0,379,0,0.3829663823685971,0.4534991666884641,0.5203255463489057,0.3429100388310939,338.72727272727275,0.22
type=uncoordinated_rpm=20_seed=1,uncoordinated,20,uncoordinated,1,600,461,29,0.05918367346938776,0.18243243243243243,461,70.9755286861382,3332.3239468499414,0.0,600.0000000000005,239,432,0,0,0,0.028792531875488435,0.45876039529623874,5282945193.394839,0.0,0,0.0,0.0,0.0,0.0,307,0,0.43361751126055575,0.4583304797219077,0.494690412640022,0.1590949993847146,251.45454545454547,0.17
type=uncoordinated_rpm=20_seed=2,uncoordinated,20,uncoordinated,2,679,500,35,0.06542056074766354,0.2236842105263158,500,68.49358981027262,2458.392870493922,8.647743961265405,600.0000000000005,164,551,0,0,0,0.03553777387870415,0.3238605385628304,4210088208.687171,0.0,0,0.0,0.0,0.0,0.0,294,0,0.3991335282712463,0.4360090821144721,0.5454493495248964,0.18074233124194589,272.72727272727275,0.19
type=uncoordinated_rpm=20_seed=3,uncoordinated,20,uncoordinated,3,738,552,53,0.08760330578512397,0.24056603773584906,552,41.77239995813284,3611.4464676430825,11.82121295560829,600.0000000000005,376,568,0,0,0,0.11442922948006984,0.48034529341295507,4999280786.7154665,0.0,0,0.0,0.0,0.0,0.0,387,2,0.4350972325715831,0.46826283427020027,0.5426458017474424,0.18873292053677188,301.0909090909091,0.21
type=uncoordinated_rpm=20_seed=4,uncoordinated,20,uncoordinated,4,671,523,40,0.07104795737122557,0.2247191011235955,523,43.49933995307674,3607.1022949241164,5.51307457443344,600.0000000000005,230,405,0,0,0,0.053420437979511,0.47803525204061126,4346052898.0988655,0.0,0,0.0,0.0,0.0,0.0,309,5,0.4682804710410006,0.5148941104303877,0.5552210097286973,0.12395096446668602,285.2727272727273,0.17
type=uncoordinated_rpm=20_seed=5,uncoordinated,20,uncoordinated,5,931,675,91,0.11879895561357702,0.3346303501945525,675,42.939262903983035,3636.1058825327236,13.15461239108026,600.0000000000005,549,985,0,0,0,0.09178255407893976,0.12220402254113559,5534869679.510787,0.0,0,0.0,0.0,0.0,0.0,428,0,0.38146580616131986,0.44377773806095133,0.6665505889139796,0.26271390903226977,368.1818181818182,0.26
type=uncoordinated_rpm=40_seed=1,uncoordinated,40,uncoordinated,1,586,435,18,0.039735099337748346,0.13178294573643412,435,76.73528946484112,3614.8392348964044,9.581079723388276,600.0000000000005,0,498,0,0,0,0.011822611686919846,0.4524178261206561,5100977763.480078,0.0,0,0.0,0.0,0.0,0.0,314,0,0.4097351602214276,0.43210333048302924,0.5187852005511849,0.15543283279350234,237.27272727272728,0.17
type=uncoordinated_rpm=40_seed=2,uncoordinated,40,uncoordinated,2,673,491,28,0.05394990366088632,0.1875,491,72.00693747692185,2773.670433622375,7.025449529133693,600.0000000000005,0,584,1,0,0,0.027925031686005266,0.32482236325697794,4131189982.0817165,0.0,0,0.0,0.0,0.0,0.0,289,0,0.39940328549875936,0.4322387979429221,0.5486158846194316,0.19379881227292037,267.8181818181818,0.2
type=uncoordinated_rpm=40_seed=3,uncoordinated,40,uncoordinated,3,738,532,28,0.05,0.16279069767441862,532,60.341172434858436,3141.6924142987245,16.926121067659096,600.0000000000005,3,658,0,0,0,0.009506460069964728,0.46582050300453426,3665657758.4084773,0.0,0,0.0,0.0,0.0,0.0,346,2,0.39372631522491214,0.4239436897582124,0.6241730237673206,0.16743359095554317,290.1818181818182,0.22
type=uncoordinated_rpm=40_seed=4,uncoordinated,40,uncoordinated,4,708,554,25,0.04317789291882556,0.15723270440251572,554,48.40107193731569,3517.4684072299324,7.754955847370138,600.0000000000005,0,423,0,0,0,0.03234709595112861,0.42811782130788134,4534498163.301396,0.0,0,0.0,0.0,0.0,0.0,277,5,0.45745549924573203,0.4897303345251621,0.5636887870410839,0.1472476690299477,302.1818181818182,0.18
type=uncoordinated_rpm=40_seed=5,uncoordinated,40,uncoordinated,5,939,684,63,0.08433734939759036,0.27155172413793105,684,67.14779668819574,3797.1375199440045,23.166807221669185,600.0000000000005,0,1138,0,0,0,0.044822695186073444,0.12842193533017543,4119901527.5874367,0.0,0,0.0,0.0,0.0,0.0,417,0,0.3506146805606795,0.39927966467712817,0.7617239633555103,0.2085251959587123,373.0909090909091,0.29
type=reactive_gate_rpm=10_seed=1,reactive_gate,10,reactive_gate,1,532,362,20,0.05235602094240838,0.1652892561983471,362,26.439636544495215,3614.5918847175876,0.0,600.0000000000005,333,568,0,0,1,0.030355552874167264,0.5418080291905387,6578590099.147199,0.0,0,0.0,0.0,0.0,0.0,287,0,0.33287729421102,0.35607173112207724,0.3657270432651839,0.11323262927696207,197.45454545454547,0.17
