run,type,rpm,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_rpm=10_seed=1,reactive_gate,10,reactive_gate,1,532,362,20,0.05235602094240838,0.1652892561983471,362,26.439636544495215,3614.5918847175876,0.0,600.0000000000005,333,568,0,0,1,0.030355552874167264,0.5418080291905387,6578590099.147199,0.0,0,0.0,0.0,0.0,0.0,287,0,0.33287729421102,0.35607173112207724,0.3657270432651839,0.11323262927696207,197.45454545454547,0.17
type=reactive_gate_rpm=10_seed=2,reactive_gate,10,reactive_gate,2,637,448,33,0.06860706860706861,0.21830985915492956,448,46.300607314782155,2939.2297502033175,0.0,600.0000000000005,316,575,0,0,1,0.027237013968320914,0.4069113814382207,6480603070.007944,0.0,0,0.0,0.0,0.0,0.0,270,3,0.3667284499474456,0.3942258507274252,0.42241467154720286,0.19595627719732855,244.36363636363637,0.18
type=reactive_gate_rpm=10_seed=3,reactive_gate,10,reactive_gate,3,664,442,28,0.059574468085106386,0.16666666666666666,442,20.24767109675645,3615.6679083395725,0.0,600.0000000000005,442,617,0,0,6,0.02757881310371204,0.5283103042082686,7237811282.582334,0.0,0,0.0,0.0,0.0,0.0,306,4,0.30582098362321947,0.32881859303653094,0.39503653993864934,0.16032559522374235,241.0909090909091,0.26
type=reactive_gate_rpm=10_seed=4,reactive_gate,10,reactive_gate,4,586,402,40,0.09049773755656108,0.26666666666666666,402,18.28169718217714,3640.8784153104048,0.0,600.0000000000005,493,500,0,0,4,0.0619421348499437,0.4901454838175675,6998652149.176507,0.0,0,0.0,0.0,0.0,0.0,247,9,0.3461843490450705,0.386205743326384,0.38925318087121213,0.0961624898437885,219.27272727272728,0.18
type=reactive_gate_rpm=10_seed=5,reactive_gate,10,reactive_gate,5,821,521,75,0.12583892617449666,0.3443396226415094,521,15.401387301952127,4326.708449407745,1.7328591685997063,600.0000000000005,400,1298,0,0,9,0.0682426888903259,0.09757749072842305,9044347463.882757,0.0,0,0.0,0.0,0.0,0.0,484,0,0.2870690740362066,0.33406565104633634,0.4297272080662394,0.17221413018268156,284.1818181818182,0.28
type=reactive_gate_rpm=10_seed=6,reactive_gate,10,reactive_gate,6,625,460,29,0.05930470347648262,0.20567375886524822,460,20.392453480704262,3463.2114488540865,0.6069286629111972,600.0000000000005,276,580,0,0,8,0.03794317745301918,0.370750804294581,7011915149.407136,0.0,0,0.0,0.0,0.0,0.0,286,3,0.36455713609216134,0.4008034899347439,0.3917562228535354,0.18927291502264262,250.9090909090909,0.19
type=reactive_gate_rpm=10_seed=7,reactive_gate,10,reactive_gate,7,677,444,55,0.11022044088176353,0.270935960591133,444,20.698119835685247,2809.090443917819,0.0,600.0000000000005,426,778,0,0,2,0.07466349266350993,0.266969006000717,6559216865.501455,0.0,0,0.0,0.0,0.0,0.0,307,3,0.3203950924900405,0.36821093725974907,0.4248123737495144,0.21371233512301685,242.1818181818182,0.23
type=reactive_gate_rpm=10_seed=8,reactive_gate,10,reactive_gate,8,713,473,40,0.07797270955165692,0.25165562913907286,473,12.775289557223346,3848.0381178234725,0.0,600.0000000000005,224,863,0,0,16,0.04766810517502873,0.5868644956208922,8894934111.115236,0.0,0,0.0,0.0,0.0,0.0,245,2,0.2691809358469265,0.29904721440668214,0.3090414909390378,0.14529881353647547,258.0,0.27
type=reactive_gate_rpm=10_seed=9,reactive_gate,10,reactive_gate,9,778,555,42,0.07035175879396985,0.20103092783505155,555,27.90338634359705,3662.820808463489,1.4144962082629073,600.0000000000005,366,776,0,0,8,0.0396685657300164,0.13878703842504825,7269034363.879993,0.0,0,0.0,0.0,0.0,0.0,411,5,0.3757502323247725,0.41358369463274475,0.48843565290323104,0.2648596258233742,302.72727272727275,0.23
type=reactive_gate_rpm=10_seed=10,reactive_gate,10,reactive_gate,10,514,373,37,0.09024390243902439,0.25547445255474455,373,108.18666738388367,3977.740136502105,0.0,600.0000000000005,216,510,0,0,0,0.08503576178515623,0.25352070406058513,6976560156.41311,0.0,0,0.0,0.0,0.0,0.0,235,2,0.36530648021153533,0.40656611748950605,0.3896475648795649,0.25362996119872044,203.45454545454547,0.16
type=reactive_gate_rpm=20_seed=1,reactive_gate,20,reactive_gate,1,595,439,17,0.03728070175438596,0.13114754098360656,439,59.86786582123841,3605.282611114047,3.4019529491801763,600.0000000000005,0,485,0,0,0,0.01076815973462299,0.4750337764910865,5067709422.01964,0.0,0,0.0,0.0,0.0,0.0,297,0,0.395083120782263,0.41552354781283873,0.498526237151159,0.13733136718287794,239.45454545454547,0.19
