run,type,tau,queue,sandbox_idle_timeout_s,rpm,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=1,reactive_gate,0.5,vtfq,0,10,reactive_gate,1,536,382,19,0.04738154613466334,0.1328125,382,26.60392079331507,3612.7221023163734,0.0,600.0000000000005,288,439,0,0,9,0.05127677980048076,0.4509511689529026,7975206646.118978,0.0,0,0.0,0.0,0.0,0.0,308,8,0.3321392397184205,0.35140234852979746,0.3323488097643098,0.19985376013442657,208.36363636363637,0.19
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=2,reactive_gate,0.5,vtfq,0,10,reactive_gate,2,634,452,19,0.040339702760084924,0.11363636363636363,452,33.592861965811835,2408.0447491756568,0.0,600.0000000000005,201,500,0,0,14,0.035395341585294934,0.28811338990535684,7260003015.200032,0.0,0,0.0,0.0,0.0,0.0,266,12,0.3676900096995223,0.37564414870336665,0.35210474709029393,0.2976596813873471,246.54545454545456,0.17
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=3,reactive_gate,0.5,vtfq,0,10,reactive_gate,3,687,488,14,0.027888446215139442,0.08433734939759036,488,20.084859255496838,3611.867511631358,1.4917571080249787,600.0000000000005,313,591,0,0,5,0.01062132759438553,0.43769361654120204,6821762693.520628,0.0,0,0.0,0.0,0.0,0.0,350,6,0.36894209886406293,0.38116841240059984,0.4122520232048045,0.2532874625924881,266.1818181818182,0.25
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=4,reactive_gate,0.5,vtfq,0,10,reactive_gate,4,614,434,12,0.026905829596412557,0.09448818897637795,434,16.031069726287683,3989.14531298955,0.0,600.0000000000005,338,466,0,0,16,0.04308948473074857,0.47067708714961687,7949747357.712652,0.0,0,0.0,0.0,0.0,0.0,254,11,0.31528572688379997,0.324720201981118,0.3545266503739316,0.14186894640142086,236.72727272727275,0.21
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=5,reactive_gate,0.5,vtfq,0,10,reactive_gate,5,804,523,60,0.10291595197255575,0.2714285714285714,523,14.903139643882696,4385.966932744561,0.8276103509864433,600.0000000000005,415,1236,0,0,7,0.06485130834689756,0.018631655143952958,9550639958.611717,0.0,0,0.0,0.0,0.0,0.0,481,4,0.3034776401998514,0.34090699694543397,0.4133937632090132,0.2302797906945796,285.2727272727273,0.33
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=6,reactive_gate,0.5,vtfq,0,10,reactive_gate,6,646,491,17,0.03346456692913386,0.12056737588652482,491,15.150903058504582,2078.4978281620306,0.0,600.0000000000005,204,472,0,0,9,0.020763846399139214,0.37419571136938085,7644928349.164245,0.0,0,0.0,0.0,0.0,0.0,315,11,0.3972441286837891,0.41580058679158916,0.36269732406193345,0.2104855293730492,267.8181818181818,0.19
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=7,reactive_gate,0.5,vtfq,0,10,reactive_gate,7,681,437,25,0.05411255411255411,0.15625,437,13.182476127771224,2958.5744620523874,0.0,600.0000000000005,124,778,0,0,14,0.028205551334622964,0.4490188289653638,7336613747.281837,0.0,0,0.0,0.0,0.0,0.0,227,8,0.31493685012654665,0.329824773251388,0.3410449472286972,0.2048788832438446,238.36363636363637,0.16
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=8,reactive_gate,0.5,vtfq,0,10,reactive_gate,8,773,545,29,0.050522648083623695,0.1836734693877551,545,11.216840801242142,3587.826606635256,0.0,600.0000000000005,144,854,0,0,18,0.047975286714977125,0.5935722833402853,7728812859.454563,0.0,0,0.0,0.0,0.0,0.0,227,7,0.32093392472509674,0.3404644544684521,0.2714630957774864,0.17376965493436003,297.2727272727273,0.19
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=9,reactive_gate,0.5,vtfq,0,10,reactive_gate,9,752,513,37,0.06727272727272728,0.21142857142857144,513,24.672894598362745,3144.778348919898,0.0,600.0000000000005,246,840,0,0,18,0.04058244072837219,0.14450570519162653,8811886118.435179,0.0,0,0.0,0.0,0.0,0.0,382,10,0.33125076612480886,0.3609574209018578,0.39033797812257187,0.2989414100447217,279.8181818181818,0.34
type=reactive_gate_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=10,reactive_gate,0.5,vtfq,0,10,reactive_gate,10,554,417,15,0.034722222222222224,0.11904761904761904,417,168.81230747018208,3582.8165421089698,1.4266105121420574,600.0000000000005,251,399,0,0,6,0.026107784821038062,0.3269227955249886,7343281147.785416,0.0,0,0.0,0.0,0.0,0.0,213,3,0.37424033780585086,0.3911203978358029,0.41719316959256025,0.2697172427774145,227.45454545454547,0.2
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=1,reactive_gate,0.8,vtfq,0,10,reactive_gate,1,536,382,19,0.04738154613466334,0.1328125,382,26.60392079331507,3612.7221023163734,0.0,600.0000000000005,288,439,0,0,9,0.05127677980048076,0.4509511689529026,7975206646.118978,0.0,0,0.0,0.0,0.0,0.0,308,8,0.3321392397184205,0.35140234852979746,0.3323488097643098,0.19985376013442657,208.36363636363637,0.19
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=2,reactive_gate,0.8,vtfq,0,10,reactive_gate,2,634,452,19,0.040339702760084924,0.11363636363636363,452,33.592861965811835,2408.0447491756568,0.0,600.0000000000005,201,500,0,0,14,0.035395341585294934,0.28811338990535684,7260003015.200032,0.0,0,0.0,0.0,0.0,0.0,266,12,0.3676900096995223,0.37564414870336665,0.35210474709029393,0.2976596813873471,246.54545454545456,0.17
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=3,reactive_gate,0.8,vtfq,0,10,reactive_gate,3,687,488,14,0.027888446215139442,0.08433734939759036,488,20.084859255496838,3611.867511631358,1.4917571080249787,600.0000000000005,313,591,0,0,5,0.01062132759438553,0.43769361654120204,6821762693.520628,0.0,0,0.0,0.0,0.0,0.0,350,6,0.36894209886406293,0.38116841240059984,0.4122520232048045,0.2532874625924881,266.1818181818182,0.26
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=4,reactive_gate,0.8,vtfq,0,10,reactive_gate,4,614,434,12,0.026905829596412557,0.09448818897637795,434,16.031069726287683,3989.14531298955,0.0,600.0000000000005,338,466,0,0,16,0.04308948473074857,0.47067708714961687,7949747357.712652,0.0,0,0.0,0.0,0.0,0.0,254,11,0.31528572688379997,0.324720201981118,0.3545266503739316,0.14186894640142086,236.72727272727275,0.21
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=5,reactive_gate,0.8,vtfq,0,10,reactive_gate,5,804,523,60,0.10291595197255575,0.2714285714285714,523,14.903139643882696,4385.966932744561,0.8276103509864433,600.0000000000005,415,1236,0,0,7,0.06485130834689756,0.018631655143952958,9550639958.611717,0.0,0,0.0,0.0,0.0,0.0,481,4,0.3034776401998514,0.34090699694543397,0.4133937632090132,0.2302797906945796,285.2727272727273,0.34
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=6,reactive_gate,0.8,vtfq,0,10,reactive_gate,6,646,491,17,0.03346456692913386,0.12056737588652482,491,15.150903058504582,2078.4978281620306,0.0,600.0000000000005,204,472,0,0,9,0.020763846399139214,0.37419571136938085,7644928349.164245,0.0,0,0.0,0.0,0.0,0.0,315,11,0.3972441286837891,0.41580058679158916,0.36269732406193345,0.2104855293730492,267.8181818181818,0.18
