run,type,queue,sandbox_idle_timeout_s,rate_per_min,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=1,reactive_gate,fifo,0,1.0,reactive_gate,1,230,209,1,0.004761904761904762,0.007874015748031496,209,88.3296307050357,1058.4786059887083,0.0,0.0,0,25,0,0,0,0.0015189236635242864,0.4730876722848759,915457318.465284,0.0,0,0.0,0.0,0.0,0.0,66,57,0.8972515643538939,0.9032332414495865,0.3062315455395299,0.09355007862242111,114.0,0.07
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=2,reactive_gate,fifo,0,1.0,reactive_gate,2,244,227,1,0.0043859649122807015,0.008064516129032258,227,92.17069484485364,1538.2133718766117,0.0,63.13067817170577,0,20,0,0,0,0.0001966924139530819,0.3739970752673396,701037623.8516879,0.0,0,0.0,0.0,0.0,0.0,56,49,0.9192305418491454,0.9197384634812517,0.31597789037004664,0.1055849568542602,123.81818181818183,0.07
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=3,reactive_gate,fifo,0,1.0,reactive_gate,3,268,239,2,0.008298755186721992,0.015503875968992248,239,151.52272937790167,1280.441185678946,1.0072564910424076,166.59992881060043,0,39,0,0,0,0.0033802703999670693,0.41380791151710433,1784536277.535972,0.0,0,0.0,0.0,0.0,0.0,81,57,0.8523957519275873,0.8626655802640644,0.38395117577214455,0.13216374816388396,130.36363636363637,0.09
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=4,reactive_gate,fifo,0,1.0,reactive_gate,4,234,212,3,0.013953488372093023,0.015384615384615385,212,122.53226429199117,2264.657437475683,0.0,0.0,0,37,0,0,0,0.016775691366292325,0.45292350956005345,1058141971.7538431,0.0,0,0.0,0.0,0.0,0.0,83,69,0.8901759433438342,0.9031865631146487,0.39702530760327637,0.14436713096399212,115.63636363636364,0.09
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=5,reactive_gate,fifo,0,1.0,reactive_gate,5,398,377,2,0.005277044854881266,0.012422360248447204,377,79.4303057314919,1131.9880174523025,2.9963925497327124,56.93727628972738,0,59,0,0,0,0.008974708369092317,0.3960585580661926,2227531511.57858,0.0,0,0.0,0.0,0.0,0.0,99,85,0.9207678488244513,0.9298843621791487,0.5122962068683632,0.14335102762686044,205.63636363636365,0.11
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=6,reactive_gate,fifo,0,1.0,reactive_gate,6,293,280,1,0.0035587188612099642,0.0,280,97.87202613481804,1463.011426217522,0.0,8.362094246956076,0,12,0,0,0,0.00012947259946584878,0.28095652946589955,1592703300.0,0.0,0,0.0,0.0,0.0,0.0,85,76,0.9418580682175028,0.9464122418599311,0.4247985898528555,0.12963414924021555,152.72727272727272,0.09
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=7,reactive_gate,fifo,0,1.0,reactive_gate,7,269,256,3,0.011583011583011582,0.02142857142857143,256,96.22142416361316,1876.392029912367,0.0,105.86133643161702,0,63,0,0,0,0.03288964643135323,0.6038808189507862,1229219214.437097,0.0,0,0.0,0.0,0.0,0.0,92,74,0.9228122300359359,0.94033398123915,0.33048339039837477,0.07915182117966288,139.63636363636365,0.07
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=8,reactive_gate,fifo,0,1.0,reactive_gate,8,354,328,2,0.006060606060606061,0.0136986301369863,328,149.57094307488546,1543.990425366559,1.9491735384384228,275.5847494174086,0,49,0,0,0,0.0032933058424073885,0.39920182874448257,2931732583.903109,0.0,0,0.0,0.0,0.0,0.0,101,65,0.8757638894891064,0.8844181869703711,0.5825788257252008,0.1861338834461262,178.9090909090909,0.12
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=9,reactive_gate,fifo,0,1.0,reactive_gate,9,380,355,6,0.01662049861495845,0.03896103896103896,355,132.46879943536214,1300.9789065709567,0.0,190.5223558699363,0,75,0,0,0,0.009093958190563285,0.43379324650515827,2389373196.3585997,0.0,0,0.0,0.0,0.0,0.0,115,80,0.8765899346617941,0.8970144046185383,0.5450060982663171,0.1618794222234632,193.63636363636365,0.13
type=reactive_gate_queue=fifo_sandbox_idle_timeout_s=0_rate_per_min=1.0_seed=10,reactive_gate,fifo,0,1.0,reactive_gate,10,232,201,6,0.028985507246376812,0.047619047619047616,201,97.48569076211925,1480.432938263224,0.0,306.1466115704534,0,41,0,0,0,0.022169897160786992,0.6092406678975101,1651384918.842953,0.0,0,0.0,0.0,0.0,0.0,61,50,0.8321374955249843,0.8647703384867482,0.35173704620321805,0.1020904250306741,109.63636363636364,0.08
